,K-Nearest Neighbors,Logistic Regressions,Naive Bayes,Random Forest
TS,5098.000000,5390.000000,806.000000,5394.000000
FS-G,300.000000,3.000000,3817.000000,5.000000
FS-Q,1.000000,6.000000,776.000000,0.000000
TG,14270.000000,14347.000000,13653.000000,14593.000000
FG-S,415.000000,291.000000,6.000000,60.000000
FG-Q,176.000000,223.000000,1202.000000,208.000000
TQ,4244.000000,4145.000000,4187.000000,4392.000000
FQ-S,10.000000,4.000000,1.000000,2.000000
FQ-G,486.000000,591.000000,552.000000,346.000000
TSR,0.944249,0.998333,0.149287,0.999074
TGR,0.960231,0.965413,0.918713,0.981966
TQR,0.895359,0.874473,0.883333,0.926582
ACCURACY,0.944480,0.955280,0.745840,0.975160
